Date,Ticker,Action,Price,Shares
2023-12-12,ADANIPORTS.NS,BUY,1027.6199951171875,2492
2023-12-13,ADANIPORTS.NS,SELL,1035.4976806640625,2492
2023-12-18,ADANIPORTS.NS,BUY,1069.1885986328125,2404
2023-12-21,ADANIPORTS.NS,SELL,987.0919189453125,2404
2023-12-21,WIPRO.NS,SELL,200.59776306152344,6
2023-12-22,ADANIPORTS.NS,BUY,1024.5977783203125,2308
2023-12-26,ADANIPORTS.NS,SELL,1024.69677734375,2308
2023-12-26,WIPRO.NS,BUY,212.3371124267578,11093
2023-12-29,WIPRO.NS,SELL,220.26467895507812,11093
2024-01-02,WIPRO.NS,BUY,223.5619659423828,10886
2024-01-03,WIPRO.NS,SELL,216.96737670898438,10886
2024-01-03,ADANIPORTS.NS,BUY,1094.9521484375,2148
2024-01-04,ADANIPORTS.NS,SELL,1106.843017578125,2148
2024-01-04,WIPRO.NS,BUY,213.74021911621094,11082
2024-01-05,TATACONSUM.NS,SELL,1109.0770263671875,475
2024-01-05,WIPRO.NS,SELL,212.8282012939453,11082
2024-01-05,ADANIPORTS.NS,BUY,1118.8328857421875,2568
2024-01-08,ADANIPORTS.NS,SELL,1149.451904296875,2568
2024-01-10,LT.NS,SELL,3489.715576171875,22
2024-01-18,ADANIPORTS.NS,BUY,1160.401611328125,2600
2024-01-30,ADANIPORTS.NS,SELL,1189.08837890625,2600
2024-01-30,BPCL.NS,BUY,221.5587158203125,6949
2024-01-30,POWERGRID.NS,BUY,233.79237365722656,6585
2024-01-31,BPCL.NS,SELL,225.6166229248047,6949
2024-01-31,POWERGRID.NS,SELL,233.79238891601562,6585
2024-01-31,ADANIPORTS.NS,BUY,1184.926513671875,1306
2024-01-31,TRENT.NS,BUY,3049.264404296875,507
2024-02-01,ADANIPORTS.NS,SELL,1202.5645751953125,1306
2024-02-01,POWERGRID.NS,BUY,238.39462280273438,6568
2024-02-02,POWERGRID.NS,SELL,243.45700073242188,6568
2024-02-02,BAJFINANCE.NS,BUY,668.00390625,2384
2024-02-05,BAJFINANCE.NS,SELL,681.749755859375,2384
2024-02-06,BAJFINANCE.NS,BUY,657.4227294921875,820
2024-02-06,BEL.NS,BUY,178.404052734375,3025
2024-02-06,ULTRACEMCO.NS,BUY,9858.673828125,54
2024-02-07,BAJFINANCE.NS,SELL,656.7304077148438,820
2024-02-07,BEL.NS,SELL,180.11570739746094,3025
2024-02-07,ULTRACEMCO.NS,SELL,9991.0439453125,54
2024-02-08,TRENT.NS,SELL,3729.557861328125,507
2024-02-08,POWERGRID.NS,BUY,249.2558135986328,14072
2024-02-09,POWERGRID.NS,SELL,256.435302734375,14072
2024-02-09,ADANIPORTS.NS,BUY,1241.2099609375,1447
2024-02-09,ULTRACEMCO.NS,BUY,9952.3203125,180
2024-02-12,ADANIPORTS.NS,SELL,1266.3790283203125,1447
2024-02-12,SBIN.NS,SELL,699.9708862304688,816
2024-02-12,ULTRACEMCO.NS,SELL,9830.0263671875,180
2024-02-13,ADANIENT.NS,BUY,3177.181884765625,436
2024-02-13,BEL.NS,BUY,171.57156372070312,8088
2024-02-13,ULTRACEMCO.NS,BUY,9876.2568359375,140
2024-02-14,ADANIENT.NS,SELL,3181.178466796875,436
2024-02-14,BEL.NS,SELL,174.0260772705078,8088
2024-02-14,ULTRACEMCO.NS,SELL,9682.88671875,140
2024-02-14,ADANIPORTS.NS,BUY,1250.474853515625,1655
2024-02-14,HINDALCO.NS,BUY,508.3366394042969,4073
2024-02-15,ADANIPORTS.NS,SELL,1263.40625,1655
2024-02-15,HINDALCO.NS,SELL,506.06646728515625,4073
2024-02-15,ULTRACEMCO.NS,BUY,9716.3251953125,425
2024-02-16,ULTRACEMCO.NS,SELL,9754.9990234375,425
2024-02-16,ADANIENT.NS,BUY,3211.152099609375,644
2024-02-16,ADANIPORTS.NS,BUY,1258.2535400390625,1643
2024-02-19,ADANIENT.NS,SELL,3237.12890625,644
2024-02-19,ADANIPORTS.NS,SELL,1301.45703125,1643
2024-02-19,SBIN.NS,BUY,731.49853515625,2876
2024-02-19,ULTRACEMCO.NS,BUY,9828.0009765625,214
2024-02-20,SBIN.NS,SELL,731.8359985351562,2876
2024-02-20,ULTRACEMCO.NS,SELL,9781.8193359375,214
2024-02-20,POWERGRID.NS,BUY,260.48876953125,16054
2024-02-21,POWERGRID.NS,SELL,269.098388671875,16054
2024-02-21,ADANIENT.NS,BUY,3235.130615234375,443
2024-02-21,HEROMOTOCO.NS,BUY,4299.44140625,333
2024-02-21,ULTRACEMCO.NS,BUY,9849.0419921875,145
2024-02-22,ADANIENT.NS,SELL,3236.1298828125,443
2024-02-22,HEROMOTOCO.NS,SELL,4266.9716796875,333
2024-02-22,ULTRACEMCO.NS,SELL,9878.4306640625,145
2024-02-23,ULTRACEMCO.NS,BUY,9840.1025390625,434
2024-02-26,ULTRACEMCO.NS,SELL,9877.4912109375,434
2024-02-26,NTPC.NS,BUY,322.2172546386719,13279
2024-02-29,NTPC.NS,SELL,317.7367248535156,13279
2024-02-29,ADANIPORTS.NS,BUY,1288.178955078125,1087
2024-02-29,ONGC.NS,BUY,238.7315673828125,5867
2024-02-29,ULTRACEMCO.NS,BUY,9666.044921875,144
2024-03-01,ONGC.NS,SELL,240.08285522460938,5867
2024-03-01,ULTRACEMCO.NS,SELL,9779.646484375,144
2024-03-01,POWERGRID.NS,BUY,266.7120361328125,10555
2024-03-04,POWERGRID.NS,SELL,269.51953125,10555
2024-03-04,ONGC.NS,BUY,245.7133331298828,5765
2024-03-04,ULTRACEMCO.NS,BUY,10033.521484375,141
2024-03-05,ONGC.NS,SELL,252.2446746826172,5765
2024-03-05,ULTRACEMCO.NS,SELL,9857.09375,141
2024-03-06,ULTRACEMCO.NS,BUY,9779.5478515625,289
2024-03-07,ULTRACEMCO.NS,SELL,9523.84375,289
2024-03-11,BPCL.NS,BUY,275.1368408203125,4997
2024-03-11,ULTRACEMCO.NS,BUY,9576.2001953125,143
2024-03-12,BPCL.NS,SELL,279.5960998535156,4997
2024-03-12,ULTRACEMCO.NS,SELL,9610.67578125,143
2024-03-12,HDFCBANK.NS,BUY,697.9073486328125,1321
2024-03-12,ONGC.NS,BUY,246.8394012451172,3735
2024-03-12,POWERGRID.NS,BUY,266.61846923828125,3458
2024-03-13,HDFCBANK.NS,SELL,713.2379150390625,1321
2024-03-13,ONGC.NS,SELL,243.9566192626953,3735
2024-03-13,POWERGRID.NS,SELL,265.1211242675781,3458
2024-03-13,BPCL.NS,BUY,280.0420227050781,4926
2024-03-13,ULTRACEMCO.NS,BUY,9507.693359375,145
2024-03-14,BPCL.NS,SELL,266.552734375,4926
2024-03-14,ULTRACEMCO.NS,SELL,9340.0556640625,145
2024-03-14,ADANIENT.NS,BUY,2924.85595703125,181
2024-03-14,APOLLOHOSP.NS,BUY,5975.11474609375,88
2024-03-14,ONGC.NS,BUY,227.47064208984375,2337
2024-03-14,POWERGRID.NS,BUY,247.10633850097656,2151
2024-03-14,TATACONSUM.NS,BUY,1143.631103515625,464
2024-03-15,ADANIENT.NS,SELL,3108.2431640625,181
2024-03-15,ONGC.NS,SELL,237.78564453125,2337
2024-03-15,BPCL.NS,BUY,262.3164367675781,2140
